customer_id,income_tier,car_model,battery_capacity_kwh
C2117,Low-Mid,Peugeot e-208,50.0
C2118,Mid-Range,Hyundai Kona Electric,64.0
C2119,Mid-Range,Volkswagen ID.4,77.0
C2120,Low-Mid,Opel Corsa-e,50.0
C2121,Mid-Range,Skoda Enyaq iV,77.0
C2122,Low-Mid,Opel Corsa-e,50.0
C2123,Mid-Range,Hyundai Kona Electric,64.0
C2124,Low-Mid,Dacia Spring,26.8
C2125,Low-Mid,Fiat 500e,42.0
C2126,High,Tesla Model Y,75.0
C2127,Low-Mid,Fiat 500e,42.0
C2128,Low-Mid,Dacia Spring,26.8
C2129,Low-Mid,Renault Zoe,52.0
C2130,Mid-Range,BYD Atto 3,60.5
C2131,Mid-Range,Volkswagen ID.4,77.0
C2132,Mid-Range,Volkswagen ID.4,77.0
C2133,Mid-Range,Kia EV6,77.4
C2134,Low-Mid,Dacia Spring,26.8
C2135,Mid-Range,Hyundai Kona Electric,64.0
C2136,High,Audi e-tron,95.0
C2137,Mid-Range,Hyundai Kona Electric,64.0
C2138,Mid-Range,MG ZS EV,69.9
C2139,Mid-Range,Volkswagen ID.4,77.0
C2140,Low-Mid,Fiat 500e,42.0
C2141,Mid-Range,Nissan Leaf,62.0
C2142,Low-Mid,Renault Zoe,52.0
C2143,Low-Mid,Citroën ë-C4,50.0
C2144,Low-Mid,Citroën ë-C4,50.0
C2145,Low-Mid,Renault Zoe,52.0
C2146,Mid-Range,Hyundai Ioniq 5,77.4
C2147,High,Ford Mustang Mach-E,91.0
C2148,Low-Mid,Peugeot e-208,50.0
C2149,Mid-Range,Volkswagen ID.4,77.0
C2150,Low-Mid,Opel Corsa-e,50.0
C2151,Low-Mid,Opel Corsa-e,50.0
C2152,High,Tesla Model Y,75.0
C2153,Mid-Range,Volkswagen ID.4,77.0
C2154,Mid-Range,Hyundai Kona Electric,64.0
C2155,Low-Mid,Fiat 500e,42.0
C2156,Low-Mid,Fiat 500e,42.0
C2157,Mid-Range,Skoda Enyaq iV,77.0
C2158,Low-Mid,Fiat 500e,42.0
C2159,Low-Mid,Dacia Spring,26.8
C2160,Low-Mid,Citroën ë-C4,50.0
C2161,High,Tesla Model 3,75.0
C2162,Mid-Range,Skoda Enyaq iV,77.0
C2163,High,Tesla Model Y,75.0
C2164,Low-Mid,Opel Corsa-e,50.0
C2165,Mid-Range,BYD Atto 3,60.5
C2166,Low-Mid,Renault Zoe,52.0
C2167,Mid-Range,BYD Atto 3,60.5
C2168,Low-Mid,Fiat 500e,42.0
C2169,Mid-Range,BYD Atto 3,60.5
C2170,Low-Mid,Fiat 500e,42.0
C2171,Low-Mid,Opel Corsa-e,50.0
C2172,Low-Mid,Opel Corsa-e,50.0
C2173,High,Audi e-tron,95.0
C2174,Mid-Range,BYD Atto 3,60.5
C2175,Low-Mid,Opel Corsa-e,50.0
C2176,Low-Mid,Dacia Spring,26.8
C2177,Mid-Range,MG ZS EV,69.9
C2178,Mid-Range,Hyundai Ioniq 5,77.4
C2179,Low-Mid,Citroën ë-C4,50.0
C2180,Low-Mid,Fiat 500e,42.0
C2181,Low-Mid,Fiat 500e,42.0
C2182,High,Tesla Model Y,75.0
C2183,Mid-Range,Hyundai Kona Electric,64.0
C2184,Mid-Range,Hyundai Kona Electric,64.0
C2185,Low-Mid,Renault Zoe,52.0
C2186,Mid-Range,Skoda Enyaq iV,77.0
C2187,Mid-Range,Skoda Enyaq iV,77.0
C2188,High,Tesla Model Y,75.0
C2189,Mid-Range,Kia EV6,77.4
C2190,Mid-Range,BYD Atto 3,60.5
C2191,High,Porsche Taycan,93.4
C2192,Mid-Range,Nissan Leaf,62.0
C2193,High,Tesla Model Y,75.0
C2194,Low-Mid,Citroën ë-C4,50.0
C2195,Mid-Range,BYD Atto 3,60.5
C2196,High,BMW i4,83.9
C2197,Low-Mid,Renault Zoe,52.0
C2198,High,BMW i4,83.9
C2199,High,Tesla Model Y,75.0
C2200,High,Audi e-tron,95.0
C2201,Low-Mid,Renault Zoe,52.0
C2202,Mid-Range,Nissan Leaf,62.0
C2203,Mid-Range,Nissan Leaf,62.0
C2204,Mid-Range,MG ZS EV,69.9
C2205,High,Ford Mustang Mach-E,91.0
C2206,Low-Mid,Peugeot e-208,50.0
C2207,Low-Mid,Peugeot e-208,50.0
C2208,Mid-Range,Nissan Leaf,62.0
C2209,Low-Mid,Peugeot e-208,50.0
C2210,Mid-Range,BYD Atto 3,60.5
C2211,Mid-Range,Skoda Enyaq iV,77.0
C2212,Low-Mid,Renault Zoe,52.0
C2213,Mid-Range,Nissan Leaf,62.0
C2214,Mid-Range,Volkswagen ID.4,77.0
C2215,Low-Mid,Fiat 500e,42.0
C2216,Mid-Range,Hyundai Kona Electric,64.0
C2217,Mid-Range,Volkswagen ID.4,77.0
C2218,Mid-Range,Hyundai Ioniq 5,77.4
C2219,Low-Mid,Dacia Spring,26.8
C2220,Low-Mid,Peugeot e-208,50.0
C2221,High,Tesla Model 3,75.0
C2222,Low-Mid,Citroën ë-C4,50.0
C2223,Mid-Range,Skoda Enyaq iV,77.0
C2224,Low-Mid,Citroën ë-C4,50.0
C2225,Mid-Range,Nissan Leaf,62.0
C2226,High,Ford Mustang Mach-E,91.0
C2227,Mid-Range,MG ZS EV,69.9
C2228,Low-Mid,Citroën ë-C4,50.0
C2229,Mid-Range,Volkswagen ID.4,77.0
C2230,Low-Mid,Opel Corsa-e,50.0
C2231,Low-Mid,Opel Corsa-e,50.0
C2232,Low-Mid,Fiat 500e,42.0
C2233,Low-Mid,Opel Corsa-e,50.0
C2234,Low-Mid,Opel Corsa-e,50.0
C2235,Mid-Range,Hyundai Ioniq 5,77.4
C2236,Low-Mid,Dacia Spring,26.8
C2237,Mid-Range,Skoda Enyaq iV,77.0
C2238,Low-Mid,Fiat 500e,42.0
C2239,Low-Mid,Fiat 500e,42.0
C2240,Mid-Range,Nissan Leaf,62.0
C2241,Low-Mid,Opel Corsa-e,50.0
C2242,Low-Mid,Renault Zoe,52.0
C2243,Mid-Range,Skoda Enyaq iV,77.0
C2244,Low-Mid,Dacia Spring,26.8
C2245,Low-Mid,Fiat 500e,42.0
C2246,Low-Mid,Fiat 500e,42.0
C2247,Low-Mid,Renault Zoe,52.0
C2248,High,Ford Mustang Mach-E,91.0
C2249,Low-Mid,Renault Zoe,52.0
C2250,Low-Mid,Fiat 500e,42.0
C2251,Low-Mid,Renault Zoe,52.0
C2252,High,BMW i4,83.9
C2253,Mid-Range,Skoda Enyaq iV,77.0
C2254,Mid-Range,MG ZS EV,69.9
C2255,Mid-Range,Hyundai Kona Electric,64.0
C2256,Low-Mid,Fiat 500e,42.0
C2257,Low-Mid,Citroën ë-C4,50.0
C2258,Low-Mid,Renault Zoe,52.0
C2259,Low-Mid,Citroën ë-C4,50.0
C2260,Low-Mid,Fiat 500e,42.0
C2261,Mid-Range,Hyundai Kona Electric,64.0
C2262,High,BMW i4,83.9
C2263,Low-Mid,Renault Zoe,52.0
C2264,High,Audi e-tron,95.0
C2265,Low-Mid,Fiat 500e,42.0
C2266,Low-Mid,Dacia Spring,26.8
C2267,Mid-Range,Hyundai Kona Electric,64.0
C2268,Low-Mid,Opel Corsa-e,50.0
C2269,Mid-Range,Skoda Enyaq iV,77.0
C2270,Low-Mid,Opel Corsa-e,50.0
C2271,Low-Mid,Fiat 500e,42.0
C2272,Mid-Range,Kia EV6,77.4
C2273,Mid-Range,Kia EV6,77.4
C2274,Mid-Range,MG ZS EV,69.9
C2275,Mid-Range,Hyundai Kona Electric,64.0
C2276,Low-Mid,Renault Zoe,52.0
C2277,High,Porsche Taycan,93.4
C2278,Mid-Range,BYD Atto 3,60.5
C2279,Mid-Range,Kia EV6,77.4
C2280,Low-Mid,Peugeot e-208,50.0
C2281,Mid-Range,BYD Atto 3,60.5
C2282,Low-Mid,Dacia Spring,26.8
C2283,Low-Mid,Renault Zoe,52.0
C2284,Mid-Range,Hyundai Kona Electric,64.0
C2285,Low-Mid,Fiat 500e,42.0
C2286,High,Porsche Taycan,93.4
C2287,Low-Mid,Opel Corsa-e,50.0
C2288,Low-Mid,Renault Zoe,52.0
C2289,Mid-Range,Skoda Enyaq iV,77.0
C2290,Low-Mid,Fiat 500e,42.0
C2291,Mid-Range,Skoda Enyaq iV,77.0
C2292,Mid-Range,BYD Atto 3,60.5
C2293,Low-Mid,Renault Zoe,52.0
C2294,High,BMW i4,83.9
C2295,Low-Mid,Opel Corsa-e,50.0
C2296,Low-Mid,Renault Zoe,52.0
C2297,Mid-Range,Hyundai Kona Electric,64.0
C2298,Low-Mid,Dacia Spring,26.8
C2299,Low-Mid,Fiat 500e,42.0
C2300,Low-Mid,Peugeot e-208,50.0
C2301,Low-Mid,Dacia Spring,26.8
C2302,Mid-Range,Nissan Leaf,62.0
C2303,Mid-Range,MG ZS EV,69.9
C2304,Low-Mid,Peugeot e-208,50.0
C2305,Low-Mid,Peugeot e-208,50.0
C2306,Low-Mid,Peugeot e-208,50.0
C2307,Mid-Range,Skoda Enyaq iV,77.0
C2308,Mid-Range,MG ZS EV,69.9
C2309,High,BMW i4,83.9
C2310,High,Ford Mustang Mach-E,91.0
C2311,Mid-Range,Nissan Leaf,62.0
C2312,Mid-Range,BYD Atto 3,60.5
C2313,Low-Mid,Citroën ë-C4,50.0
C2314,Mid-Range,Hyundai Ioniq 5,77.4
C2315,Mid-Range,Skoda Enyaq iV,77.0
C2316,Mid-Range,MG ZS EV,69.9
C2317,Mid-Range,Skoda Enyaq iV,77.0
C2318,High,Porsche Taycan,93.4
C2319,High,BMW i4,83.9
C2320,High,Ford Mustang Mach-E,91.0
C2321,Low-Mid,Citroën ë-C4,50.0
C2322,Mid-Range,Volkswagen ID.4,77.0
C2323,High,Ford Mustang Mach-E,91.0
C2324,Low-Mid,Citroën ë-C4,50.0
C2325,Low-Mid,Opel Corsa-e,50.0
C2326,High,Tesla Model 3,75.0
C2327,Low-Mid,Fiat 500e,42.0
C2328,Mid-Range,MG ZS EV,69.9
C2329,Mid-Range,Hyundai Ioniq 5,77.4
C2330,High,Ford Mustang Mach-E,91.0
C2331,Low-Mid,Dacia Spring,26.8
C2332,High,Ford Mustang Mach-E,91.0
C2333,High,BMW i4,83.9
C2334,Low-Mid,Citroën ë-C4,50.0
C2335,Mid-Range,Kia EV6,77.4
C2336,Low-Mid,Renault Zoe,52.0
C2337,Low-Mid,Opel Corsa-e,50.0
C2338,High,Audi e-tron,95.0
C2339,Low-Mid,Dacia Spring,26.8
C2340,High,Tesla Model Y,75.0
C2341,Low-Mid,Citroën ë-C4,50.0
C2342,Mid-Range,Hyundai Kona Electric,64.0
C2343,Low-Mid,Citroën ë-C4,50.0
C2344,Low-Mid,Citroën ë-C4,50.0
C2345,High,Tesla Model 3,75.0
C2346,Low-Mid,Citroën ë-C4,50.0
C2347,Low-Mid,Fiat 500e,42.0
C2348,Mid-Range,BYD Atto 3,60.5
C2349,Mid-Range,BYD Atto 3,60.5
C2350,Mid-Range,MG ZS EV,69.9
C2351,Low-Mid,Opel Corsa-e,50.0
C2352,Low-Mid,Peugeot e-208,50.0
C2353,Mid-Range,Volkswagen ID.4,77.0
C2354,Low-Mid,Dacia Spring,26.8
C2355,Low-Mid,Dacia Spring,26.8
C2356,Low-Mid,Citroën ë-C4,50.0
C2357,Low-Mid,Citroën ë-C4,50.0
C2358,Low-Mid,Dacia Spring,26.8
C2359,Mid-Range,BYD Atto 3,60.5
C2360,Low-Mid,Citroën ë-C4,50.0
C2361,Mid-Range,MG ZS EV,69.9
C2362,Low-Mid,Opel Corsa-e,50.0
C2363,High,Tesla Model 3,75.0
C2364,Low-Mid,Dacia Spring,26.8
C2365,Low-Mid,Peugeot e-208,50.0
C2366,Mid-Range,Kia EV6,77.4
C2367,Low-Mid,Fiat 500e,42.0
C2368,Mid-Range,Nissan Leaf,62.0
C2369,Low-Mid,Renault Zoe,52.0
C2370,Low-Mid,Fiat 500e,42.0
C2371,Low-Mid,Citroën ë-C4,50.0
C2372,Mid-Range,Volkswagen ID.4,77.0
C2373,Low-Mid,Citroën ë-C4,50.0
C2374,Low-Mid,Fiat 500e,42.0
C2375,Low-Mid,Opel Corsa-e,50.0
C2376,Mid-Range,MG ZS EV,69.9
C2377,Mid-Range,Kia EV6,77.4
C2378,Low-Mid,Dacia Spring,26.8
C2379,Mid-Range,BYD Atto 3,60.5
C2380,Low-Mid,Peugeot e-208,50.0
C2381,Mid-Range,Kia EV6,77.4
C2382,Mid-Range,Hyundai Ioniq 5,77.4
C2383,Low-Mid,Citroën ë-C4,50.0
C2384,Mid-Range,Hyundai Kona Electric,64.0
C2385,Mid-Range,Hyundai Ioniq 5,77.4
C2386,Mid-Range,Hyundai Kona Electric,64.0
C2387,Low-Mid,Renault Zoe,52.0
C2388,Low-Mid,Peugeot e-208,50.0
C2389,High,Porsche Taycan,93.4
C2390,Low-Mid,Citroën ë-C4,50.0
C2391,Low-Mid,Citroën ë-C4,50.0
C2392,Mid-Range,Hyundai Kona Electric,64.0
C2393,High,Porsche Taycan,93.4
C2394,Low-Mid,Fiat 500e,42.0
C2395,Low-Mid,Citroën ë-C4,50.0
C2396,Low-Mid,Opel Corsa-e,50.0
C2397,Mid-Range,Volkswagen ID.4,77.0
C2398,Low-Mid,Renault Zoe,52.0
C2399,Low-Mid,Renault Zoe,52.0
C2400,Mid-Range,Skoda Enyaq iV,77.0
C2401,Low-Mid,Citroën ë-C4,50.0
C2402,Mid-Range,Hyundai Ioniq 5,77.4
C2403,Low-Mid,Citroën ë-C4,50.0
C2404,Mid-Range,Nissan Leaf,62.0
C2405,Mid-Range,Kia EV6,77.4
C2406,Low-Mid,Renault Zoe,52.0
C2407,Low-Mid,Renault Zoe,52.0
C2408,Mid-Range,Kia EV6,77.4
C2409,Low-Mid,Renault Zoe,52.0
C2410,Low-Mid,Dacia Spring,26.8
C2411,Low-Mid,Fiat 500e,42.0
C2412,Mid-Range,MG ZS EV,69.9
C2413,Mid-Range,MG ZS EV,69.9
C2414,High,Ford Mustang Mach-E,91.0
C2415,Mid-Range,MG ZS EV,69.9
C2416,Low-Mid,Renault Zoe,52.0
C2417,Low-Mid,Citroën ë-C4,50.0
C2418,Low-Mid,Fiat 500e,42.0
C2419,Mid-Range,Hyundai Ioniq 5,77.4
C2420,Mid-Range,MG ZS EV,69.9
C2421,Low-Mid,Renault Zoe,52.0
C2422,Mid-Range,Volkswagen ID.4,77.0
C2423,Mid-Range,Hyundai Kona Electric,64.0
C2424,Mid-Range,MG ZS EV,69.9
C2425,Low-Mid,Dacia Spring,26.8
C2426,Low-Mid,Peugeot e-208,50.0
C2427,Mid-Range,Nissan Leaf,62.0
C2428,Mid-Range,Skoda Enyaq iV,77.0
C2429,Low-Mid,Opel Corsa-e,50.0
C2430,Low-Mid,Opel Corsa-e,50.0
C2431,Mid-Range,MG ZS EV,69.9
C2432,Low-Mid,Citroën ë-C4,50.0
C2433,Low-Mid,Citroën ë-C4,50.0
C2434,High,Tesla Model 3,75.0
C2435,Low-Mid,Fiat 500e,42.0
C2436,Low-Mid,Citroën ë-C4,50.0
C2437,Low-Mid,Opel Corsa-e,50.0
C2438,Mid-Range,Volkswagen ID.4,77.0
C2439,Low-Mid,Renault Zoe,52.0
C2440,High,Porsche Taycan,93.4
C2441,Mid-Range,Hyundai Kona Electric,64.0
C2442,Mid-Range,Skoda Enyaq iV,77.0
C2443,High,Porsche Taycan,93.4
C2444,Low-Mid,Citroën ë-C4,50.0
C2445,Low-Mid,Fiat 500e,42.0
C2446,Mid-Range,Skoda Enyaq iV,77.0
C2447,Mid-Range,Volkswagen ID.4,77.0
C2448,Low-Mid,Opel Corsa-e,50.0
C2449,Low-Mid,Fiat 500e,42.0
C2450,Low-Mid,Dacia Spring,26.8
C2451,Low-Mid,Fiat 500e,42.0
C2452,Mid-Range,BYD Atto 3,60.5
C2453,Mid-Range,BYD Atto 3,60.5
C2454,Low-Mid,Dacia Spring,26.8
C2455,Low-Mid,Dacia Spring,26.8
C2456,Low-Mid,Fiat 500e,42.0
C2457,Low-Mid,Fiat 500e,42.0
C2458,Low-Mid,Peugeot e-208,50.0
C2459,Mid-Range,Volkswagen ID.4,77.0
C2460,Mid-Range,BYD Atto 3,60.5
C2461,Low-Mid,Opel Corsa-e,50.0
C2462,Low-Mid,Renault Zoe,52.0
C2463,Low-Mid,Peugeot e-208,50.0
C2464,Low-Mid,Citroën ë-C4,50.0
C2465,Mid-Range,Volkswagen ID.4,77.0
C2466,Low-Mid,Renault Zoe,52.0
C2467,Low-Mid,Fiat 500e,42.0
C2468,Low-Mid,Fiat 500e,42.0
C2469,Low-Mid,Fiat 500e,42.0
C2470,High,Ford Mustang Mach-E,91.0
C2471,Mid-Range,Hyundai Ioniq 5,77.4
C2472,Low-Mid,Renault Zoe,52.0
C2473,Low-Mid,Dacia Spring,26.8
C2474,Mid-Range,Hyundai Kona Electric,64.0
C2475,Low-Mid,Citroën ë-C4,50.0
C2476,Low-Mid,Citroën ë-C4,50.0
C2477,High,BMW i4,83.9
C2478,Mid-Range,Skoda Enyaq iV,77.0
C2479,High,BMW i4,83.9
C2480,Mid-Range,Nissan Leaf,62.0
C2481,Mid-Range,Skoda Enyaq iV,77.0
C2482,Low-Mid,Opel Corsa-e,50.0
C2483,High,Ford Mustang Mach-E,91.0
C2484,Mid-Range,Hyundai Kona Electric,64.0
C2485,Mid-Range,Hyundai Kona Electric,64.0
C2486,Mid-Range,Nissan Leaf,62.0
C2487,Low-Mid,Peugeot e-208,50.0
C2488,Low-Mid,Opel Corsa-e,50.0
C2489,Mid-Range,Volkswagen ID.4,77.0
C2490,Mid-Range,Hyundai Kona Electric,64.0
C2491,Low-Mid,Peugeot e-208,50.0
C2492,High,Porsche Taycan,93.4
C2493,Mid-Range,Volkswagen ID.4,77.0
C2494,Low-Mid,Citroën ë-C4,50.0
C2495,Mid-Range,Hyundai Ioniq 5,77.4
C2496,Low-Mid,Dacia Spring,26.8
C2497,Low-Mid,Peugeot e-208,50.0
C2498,Low-Mid,Opel Corsa-e,50.0
C2499,Mid-Range,Skoda Enyaq iV,77.0
C2500,Mid-Range,Nissan Leaf,62.0
C2501,Low-Mid,Dacia Spring,26.8
C2502,Low-Mid,Opel Corsa-e,50.0
C2503,Mid-Range,Skoda Enyaq iV,77.0
C2504,High,Ford Mustang Mach-E,91.0
C2505,High,Audi e-tron,95.0
C2506,High,Porsche Taycan,93.4
C2507,Low-Mid,Citroën ë-C4,50.0
C2508,Low-Mid,Peugeot e-208,50.0
C2509,High,Ford Mustang Mach-E,91.0
C2510,Mid-Range,Skoda Enyaq iV,77.0
C2511,Low-Mid,Peugeot e-208,50.0
C2512,Low-Mid,Renault Zoe,52.0
C2513,Low-Mid,Renault Zoe,52.0
C2514,Low-Mid,Peugeot e-208,50.0
C2515,Low-Mid,Dacia Spring,26.8
C2516,Low-Mid,Opel Corsa-e,50.0
C2517,High,Audi e-tron,95.0
C2518,Low-Mid,Citroën ë-C4,50.0
C2519,Mid-Range,Hyundai Ioniq 5,77.4
C2520,Mid-Range,Skoda Enyaq iV,77.0
C2521,High,Audi e-tron,95.0
C2522,Low-Mid,Fiat 500e,42.0
C2523,High,Porsche Taycan,93.4
C2524,High,BMW i4,83.9
C2525,Low-Mid,Dacia Spring,26.8
C2526,Low-Mid,Renault Zoe,52.0
C2527,Low-Mid,Dacia Spring,26.8
C2528,High,Audi e-tron,95.0
C2529,Low-Mid,Opel Corsa-e,50.0
C2530,Mid-Range,Nissan Leaf,62.0
C2531,Low-Mid,Citroën ë-C4,50.0
C2532,Low-Mid,Opel Corsa-e,50.0
C2533,Low-Mid,Renault Zoe,52.0
C2534,Low-Mid,Citroën ë-C4,50.0
C2535,Mid-Range,BYD Atto 3,60.5
C2536,Low-Mid,Citroën ë-C4,50.0
C2537,Mid-Range,MG ZS EV,69.9
C2538,Mid-Range,Skoda Enyaq iV,77.0
C2539,Low-Mid,Dacia Spring,26.8
C2540,Mid-Range,Hyundai Ioniq 5,77.4
C2541,Mid-Range,Nissan Leaf,62.0
C2542,Low-Mid,Dacia Spring,26.8
C2543,Mid-Range,MG ZS EV,69.9
C2544,Low-Mid,Peugeot e-208,50.0
C2545,Mid-Range,Skoda Enyaq iV,77.0
C2546,High,Tesla Model 3,75.0
C2547,Low-Mid,Opel Corsa-e,50.0
C2548,High,Ford Mustang Mach-E,91.0
C2549,Low-Mid,Fiat 500e,42.0
C2550,High,Tesla Model 3,75.0
C2551,High,BMW i4,83.9
C2552,Low-Mid,Renault Zoe,52.0
C2553,Mid-Range,Kia EV6,77.4
C2554,High,Audi e-tron,95.0
C2555,Mid-Range,Nissan Leaf,62.0
C2556,Mid-Range,Volkswagen ID.4,77.0
C2557,Low-Mid,Citroën ë-C4,50.0
C2558,High,Audi e-tron,95.0
C2559,Low-Mid,Peugeot e-208,50.0
C2560,Mid-Range,Volkswagen ID.4,77.0
C2561,Low-Mid,Opel Corsa-e,50.0
C2562,Mid-Range,Volkswagen ID.4,77.0
C2563,Mid-Range,MG ZS EV,69.9
C2564,Mid-Range,Hyundai Ioniq 5,77.4
C2565,Low-Mid,Peugeot e-208,50.0
C2566,High,Ford Mustang Mach-E,91.0
C2567,High,Ford Mustang Mach-E,91.0
C2568,Low-Mid,Renault Zoe,52.0
C2569,Low-Mid,Dacia Spring,26.8
C2570,High,Ford Mustang Mach-E,91.0
C2571,High,Tesla Model 3,75.0
C2572,Low-Mid,Citroën ë-C4,50.0
C2573,Low-Mid,Citroën ë-C4,50.0
C2574,Low-Mid,Dacia Spring,26.8
C2575,Mid-Range,MG ZS EV,69.9
C2576,Low-Mid,Dacia Spring,26.8
C2577,High,BMW i4,83.9
C2578,Mid-Range,Skoda Enyaq iV,77.0
C2579,Mid-Range,Kia EV6,77.4
C2580,Low-Mid,Renault Zoe,52.0
C2581,Mid-Range,Hyundai Kona Electric,64.0
C2582,Mid-Range,Nissan Leaf,62.0
C2583,Low-Mid,Peugeot e-208,50.0
C2584,Low-Mid,Opel Corsa-e,50.0
C2585,Mid-Range,BYD Atto 3,60.5
C2586,Mid-Range,Hyundai Ioniq 5,77.4
C2587,Mid-Range,MG ZS EV,69.9
C2588,Mid-Range,Volkswagen ID.4,77.0
C2589,High,Porsche Taycan,93.4
C2590,Low-Mid,Dacia Spring,26.8
C2591,Mid-Range,Hyundai Kona Electric,64.0
C2592,Mid-Range,Volkswagen ID.4,77.0
C2593,Low-Mid,Opel Corsa-e,50.0
C2594,Mid-Range,Nissan Leaf,62.0
C2595,Low-Mid,Fiat 500e,42.0
C2596,Mid-Range,MG ZS EV,69.9
C2597,Low-Mid,Renault Zoe,52.0
C2598,High,Audi e-tron,95.0
C2599,Mid-Range,Hyundai Kona Electric,64.0
C2600,Low-Mid,Citroën ë-C4,50.0
C2601,Low-Mid,Peugeot e-208,50.0
C2602,Mid-Range,MG ZS EV,69.9
C2603,Low-Mid,Dacia Spring,26.8
C2604,High,Tesla Model Y,75.0
C2605,Low-Mid,Opel Corsa-e,50.0
C2606,Mid-Range,BYD Atto 3,60.5
C2607,Mid-Range,BYD Atto 3,60.5
C2608,Mid-Range,BYD Atto 3,60.5
C2609,Low-Mid,Fiat 500e,42.0
C2610,Mid-Range,Kia EV6,77.4
C2611,Mid-Range,Kia EV6,77.4
C2612,Low-Mid,Citroën ë-C4,50.0
C2613,High,Porsche Taycan,93.4
C2614,Mid-Range,Hyundai Kona Electric,64.0
C2615,High,Tesla Model 3,75.0
C2616,Mid-Range,Kia EV6,77.4
C2617,Mid-Range,Hyundai Kona Electric,64.0
C2618,Low-Mid,Dacia Spring,26.8
C2619,Low-Mid,Renault Zoe,52.0
C2620,Mid-Range,Hyundai Kona Electric,64.0
C2621,Low-Mid,Opel Corsa-e,50.0
C2622,Low-Mid,Fiat 500e,42.0
C2623,Mid-Range,Hyundai Kona Electric,64.0
C2624,Mid-Range,Skoda Enyaq iV,77.0
C2625,Mid-Range,Skoda Enyaq iV,77.0
C2626,Mid-Range,Volkswagen ID.4,77.0
C2627,High,Tesla Model Y,75.0
C2628,Low-Mid,Dacia Spring,26.8
C2629,Mid-Range,Volkswagen ID.4,77.0
C2630,Mid-Range,BYD Atto 3,60.5
C2631,Mid-Range,Volkswagen ID.4,77.0
C2632,Low-Mid,Dacia Spring,26.8
C2633,Mid-Range,Kia EV6,77.4
C2634,Low-Mid,Fiat 500e,42.0
C2635,Low-Mid,Fiat 500e,42.0
C2636,High,Porsche Taycan,93.4
C2637,Mid-Range,Nissan Leaf,62.0
C2638,Mid-Range,Hyundai Ioniq 5,77.4
C2639,Low-Mid,Dacia Spring,26.8
C2640,Low-Mid,Citroën ë-C4,50.0
C2641,Low-Mid,Fiat 500e,42.0
C2642,Low-Mid,Renault Zoe,52.0
C2643,Low-Mid,Renault Zoe,52.0
C2644,High,BMW i4,83.9
C2645,Mid-Range,Volkswagen ID.4,77.0
C2646,Low-Mid,Opel Corsa-e,50.0
C2647,Mid-Range,Hyundai Kona Electric,64.0
C2648,Mid-Range,Hyundai Kona Electric,64.0
C2649,Low-Mid,Peugeot e-208,50.0
C2650,Low-Mid,Renault Zoe,52.0
C2651,Low-Mid,Citroën ë-C4,50.0
C2652,Mid-Range,MG ZS EV,69.9
C2653,Mid-Range,Hyundai Kona Electric,64.0
C2654,High,Tesla Model Y,75.0
C2655,Low-Mid,Dacia Spring,26.8
C2656,Mid-Range,BYD Atto 3,60.5
C2657,Mid-Range,Hyundai Ioniq 5,77.4
C2658,Mid-Range,Skoda Enyaq iV,77.0
C2659,Mid-Range,Hyundai Kona Electric,64.0
C2660,Mid-Range,Hyundai Ioniq 5,77.4
C2661,Mid-Range,Kia EV6,77.4
C2662,Low-Mid,Opel Corsa-e,50.0
C2663,Low-Mid,Dacia Spring,26.8
C2664,Mid-Range,BYD Atto 3,60.5
C2665,Low-Mid,Opel Corsa-e,50.0
C2666,Mid-Range,BYD Atto 3,60.5
C2667,Low-Mid,Renault Zoe,52.0
C2668,Mid-Range,Hyundai Kona Electric,64.0
C2669,High,Porsche Taycan,93.4
C2670,Low-Mid,Renault Zoe,52.0
C2671,Low-Mid,Renault Zoe,52.0
C2672,Mid-Range,Volkswagen ID.4,77.0
C2673,Mid-Range,Skoda Enyaq iV,77.0
C2674,Low-Mid,Dacia Spring,26.8
C2675,Mid-Range,BYD Atto 3,60.5
C2676,Low-Mid,Citroën ë-C4,50.0
C2677,Mid-Range,BYD Atto 3,60.5
C2678,Low-Mid,Renault Zoe,52.0
C2679,Low-Mid,Opel Corsa-e,50.0
C2680,High,Tesla Model 3,75.0
C2681,Low-Mid,Peugeot e-208,50.0
C2682,High,Tesla Model Y,75.0
C2683,Mid-Range,Hyundai Ioniq 5,77.4
C2684,Mid-Range,Skoda Enyaq iV,77.0
C2685,Mid-Range,Volkswagen ID.4,77.0
C2686,Low-Mid,Dacia Spring,26.8
C2687,Low-Mid,Renault Zoe,52.0
C2688,Mid-Range,Nissan Leaf,62.0
C2689,Mid-Range,Hyundai Ioniq 5,77.4
C2690,Low-Mid,Renault Zoe,52.0
C2691,Low-Mid,Opel Corsa-e,50.0
C2692,Low-Mid,Citroën ë-C4,50.0
C2693,High,Porsche Taycan,93.4
C2694,Low-Mid,Fiat 500e,42.0
C2695,Low-Mid,Fiat 500e,42.0
C2696,Low-Mid,Peugeot e-208,50.0
C2697,Low-Mid,Citroën ë-C4,50.0
C2698,Low-Mid,Peugeot e-208,50.0
C2699,Mid-Range,Kia EV6,77.4
C2700,Low-Mid,Fiat 500e,42.0
C2701,Mid-Range,MG ZS EV,69.9
C2702,Low-Mid,Dacia Spring,26.8
C2703,Low-Mid,Peugeot e-208,50.0
C2704,Mid-Range,MG ZS EV,69.9
